assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
8,5,13, ,0,41,5,Anderson,0,18,8479998,12,13,0.31707,D,0,0,20242025,0,0,0.09803,L,51,Mikey Anderson,LAK,1395.0975
27,7,29,0.50153,2,44,7,Dubois,1,32,8479400,13,34,0.77272,L,0,5,20242025,0,0,0.10144,L,69,Pierre-Luc Dubois,WSH,1034.3181
10,1,10, ,0,44,1,Fehervary,0,15,8480796,8,11,0.25,D,0,0,20242025,0,1,0.02631,L,38,Martin Fehervary,WSH,1159.7954
12,3,14, ,1,44,6,Ekholm,1,14,8475218,15,18,0.40909,D,3,4,20242025,0,0,0.0594,L,101,Mattias Ekholm,EDM,1368.8181
11,3,12, ,1,32,3,Broberg,0,8,8481598,9,14,0.4375,D,0,2,20242025,0,0,0.06818,L,44,Philip Broberg,STL,1226.4062
5,4,9,0.0,0,35,4,L'Heureux,0,32,8482742,-8,9,0.25714,L,0,0,20242025,0,0,0.1,L,40,Zachary L'Heureux,NSH,689.7142
3,0,3, ,0,26,0,Bryson,0,10,8480196,-1,3,0.11538,D,0,0,20242025,0,0,0.0,L,8,Jacob Bryson,BUF,846.6923
3,2,5,0.33333,1,13,4,Mantha,0,11,8477511,6,7,0.53846,R,1,1,20242025,1,1,0.26666,L,15,Anthony Mantha,CGY,834.1538
8,0,8, ,0,43,0,Lyubushkin,0,12,8480950,7,8,0.18604,D,0,0,20242025,0,0,0.0,R,26,Ilya Lyubushkin,DAL,1021.0
18,8,18,0.33333,0,38,13,Jarvis,0,10,8482093,-5,31,0.81578,C,4,11,20242025,1,2,0.12871,R,101,Seth Jarvis,CAR,1156.0526
6,0,6, ,0,25,0,Fleury,0,4,8477938,-7,6,0.24,D,0,0,20242025,0,0,0.0,L,27,Haydn Fleury,WPG,1034.4
4,0,4, ,0,33,0,Mahura,0,10,8479372,-1,4,0.12121,D,0,0,20242025,0,0,0.0,L,30,Joshua Mahura,SEA,798.3333
13,5,13,0.48177,2,45,8,Wennberg,2,8,8477505,-11,21,0.46666,C,3,8,20242025,0,0,0.14545,L,55,Alexander Wennberg,SJS,1104.6666
7,4,11,0.46719,0,35,5,Bjugstad,0,10,8475760,-5,12,0.34285,C,1,1,20242025,0,0,0.08196,R,61,Nick Bjugstad,UTA,771.3428
29,10,26,0.33333,3,42,14,Keller,1,16,8479343,-4,43,1.0238,R,4,17,20242025,0,0,0.13084,L,107,Clayton Keller,UTA,1142.5
10,3,12, ,0,39,4,Evangelista,0,16,8482146,-1,14,0.35897,R,1,2,20242025,0,0,0.05333,R,75,Luke Evangelista,NSH,770.5641
3,0,3, ,0,17,0,Korczak,0,0,8481527,4,3,0.17647,D,0,0,20242025,0,0,0.0,R,13,Kaedan Korczak,VGK,901.9411
1,2,2, ,0,4,2,Chibrikov,0,0,8482787,1,3,0.75,R,0,1,20242025,0,0,0.33333,L,6,Nikita Chibrikov,WPG,684.25
2,7,9,0.47029,2,31,7,Kulich,1,6,8483468,-1,9,0.29032,C,0,0,20242025,0,0,0.10937,L,64,Jiri Kulich,BUF,833.4838
4,1,5, ,0,40,1,Xhekaj,0,67,8482964,-2,5,0.125,D,0,0,20242025,0,0,0.02325,L,43,Arber Xhekaj,MTL,909.45
6,4,10,0.52901,0,44,4,Kuraly,0,16,8476374,-1,10,0.22727,C,0,0,20242025,0,0,0.1081,L,37,Sean Kuraly,CBJ,673.4772
9,3,11,0.39234,0,37,3,Reichel,0,8,8482117,-6,12,0.32432,L,0,1,20242025,0,0,0.06818,L,44,Lukas Reichel,CHI,738.8648
0,0,0, ,0,3,0,Boyd,0,0,8476329,0,0,0.0,C,0,0,20242025,0,0, ,R,0,Travis Boyd,MIN,468.3333
12,1,13, ,0,43,2,Bahl,0,19,8480860,2,14,0.32558,D,1,1,20242025,0,0,0.04081,L,49,Kevin Bahl,CGY,1288.372
