blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,playerId,positionCode,seasonId,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
5,3.5,0.0,0,0.0,0,7,9,6.3,9,6.3,Hinostroza,0,1,1,1,9,12,0,8476994,C,20242025,R,7,Vinnie Hinostroza,0,0.0,NSH,733.57
4,1.38,,0,,0,11,12,4.15,3,1.03,Reilly,1,0,1,0,11,13,0,8476422,D,20242025,L,10,Mike Reilly,1,0.34,NYI,945.09
36,4.14,0.0,0,0.0,0,37,27,3.11,17,1.95,Stecher,0,0,0,0,10,10,0,8479442,D,20242025,R,31,Troy Stecher,2,0.23,EDM,844.64
27,4.22,1.0,1,2.0,0,25,10,1.56,51,7.97,Danforth,0,2,0,0,9,11,0,8479941,R,20242025,R,7,Justin Danforth,3,0.46,CBJ,920.44
8,0.91,0.0,0,0.0,0,30,27,3.09,1,0.11,Johnson,1,0,1,0,19,21,0,8482660,C,20242025,L,32,Kent Johnson,12,1.37,CBJ,1045.43
48,5.73,0.0,0,0.0,0,31,32,3.82,38,4.53,Stanley,0,0,0,1,16,18,0,8479378,D,20242025,L,23,Logan Stanley,6,0.71,WPG,972.54
14,3.11,1.0,0,1.0,0,17,14,3.11,0,0.0,Eberle,0,1,1,3,9,14,1,8474586,R,20242025,R,14,Jordan Eberle,7,1.55,SEA,950.52
39,4.35,0.0,0,0.0,0,27,30,3.35,19,2.12,Moser,0,1,1,0,13,15,0,8482655,D,20242025,L,34,J.J. Moser,14,1.56,TBL,1193.66
17,2.23,0.0,0,0.0,0,35,15,1.97,21,2.75,Jankowski,0,1,2,0,18,21,0,8476873,L,20242025,L,22,Mark Jankowski,2,0.26,NSH,782.77
0,0.0,,0,,0,1,2,14.14,3,21.21,Viel,0,0,0,0,0,0,0,8479705,L,20242025,L,0,Jeffrey Viel,0,0.0,BOS,509.0
46,4.33,0.0,0,0.0,0,40,31,2.92,13,1.22,Brodie,0,0,0,0,19,19,0,8474673,D,20242025,L,21,TJ Brodie,6,0.56,CHI,954.22
0,0.0,,0,,0,1,0,0.0,1,14.75,Polin,0,0,0,0,0,0,0,8484255,R,20242025,R,1,Jason Polin,0,0.0,COL,244.0
18,2.42,0.0,0,0.0,1,38,22,2.96,17,2.28,Bourque,1,2,2,0,17,22,0,8482145,C,20242025,R,22,Mavrik Bourque,6,0.8,DAL,703.94
75,7.1,2.0,2,4.0,0,44,31,2.93,96,9.1,Tanev,0,3,1,1,31,36,0,8479293,L,20242025,L,11,Brandon Tanev,15,1.42,SEA,863.11
7,4.55,,0,,0,6,8,5.21,2,1.3,Coghlan,0,0,2,0,7,9,0,8479639,D,20242025,R,5,Dylan Coghlan,2,1.3,WPG,921.16
93,7.14,0.0,1,1.0,0,38,35,2.68,70,5.37,Murphy,0,1,1,0,16,18,0,8476473,D,20242025,R,36,Connor Murphy,11,0.84,CHI,1232.68
11,2.22,0.0,0,0.0,1,24,11,2.22,83,16.8,Joshua,0,0,1,1,7,9,0,8478057,C,20242025,L,9,Dakota Joshua,7,1.41,VAN,740.87
32,5.11,,0,,1,25,21,3.35,28,4.47,Barron,0,0,0,1,5,6,0,8482111,D,20242025,R,21,Justin Barron,4,0.63,"MTL,NSH",901.0
15,1.46,0.0,0,0.0,1,42,30,2.93,34,3.32,Tarasenko,0,5,3,1,23,32,0,8475765,R,20242025,L,50,Vladimir Tarasenko,9,0.87,DET,876.78
8,1.09,1.0,1,2.0,2,29,27,3.71,8,1.09,Arvidsson,1,2,1,2,25,31,0,8478042,L,20242025,R,34,Viktor Arvidsson,6,0.82,EDM,903.24
21,2.95,0.0,0,0.0,0,33,16,2.25,30,4.22,Glass,0,1,0,1,19,22,0,8479996,C,20242025,R,25,Cody Glass,5,0.7,PIT,774.87
21,4.81,0.0,0,0.0,0,18,11,2.52,8,1.83,Vaakanainen,0,0,1,0,9,10,0,8480001,D,20242025,L,11,Urho Vaakanainen,2,0.45,"ANA,NYR",872.16
64,5.32,0.0,0,0.0,0,43,33,2.74,120,9.99,Benoit,1,1,1,3,13,19,0,8481122,D,20242025,L,18,Simon Benoit,9,0.74,TOR,1005.3
37,6.38,0.0,1,1.0,0,18,15,2.58,25,4.31,Zub,0,0,1,0,8,9,0,8482245,D,20242025,R,24,Artem Zub,6,1.03,OTT,1158.61
96,5.98,1.0,0,1.0,0,43,54,3.36,54,3.36,Pulock,0,1,1,1,26,29,0,8477506,D,20242025,R,48,Ryan Pulock,20,1.24,NYI,1343.55
56,5.15,0.0,0,0.0,0,34,40,3.67,39,3.58,Petry,1,1,0,2,15,20,0,8473507,D,20242025,R,41,Jeff Petry,10,0.91,DET,1151.0
34,2.61,0.0,1,1.0,0,45,35,2.68,78,5.99,Meier,4,4,2,3,70,84,0,8478414,R,20242025,L,74,Timo Meier,10,0.76,NJD,1041.04
29,3.3,0.0,0,0.0,0,30,29,3.3,26,2.96,Jokiharju,1,0,1,0,13,15,0,8480035,D,20242025,R,37,Henri Jokiharju,8,0.91,BUF,1052.2
1,1.52,0.0,0,0.0,0,4,2,3.05,2,3.05,Philp,0,0,0,0,0,0,0,8481491,C,20242025,R,2,Noah Philp,0,0.0,EDM,590.0
0,0.0,,0,,0,2,1,2.78,2,5.57,Foote,0,0,2,0,2,4,0,8481518,L,20242025,L,1,Nolan Foote,0,0.0,NJD,646.0
69,4.34,1.0,2,3.0,1,41,34,2.13,62,3.9,Anderson,0,0,1,0,23,24,0,8479998,D,20242025,L,61,Mikey Anderson,12,0.75,LAK,1395.09
36,2.84,3.0,1,4.0,3,44,32,2.53,38,3.0,Dubois,1,6,6,1,41,55,1,8479400,L,20242025,L,35,Pierre-Luc Dubois,5,0.39,WSH,1034.31
90,6.34,2.0,0,2.0,0,44,37,2.61,85,5.99,Fehervary,0,0,1,1,25,27,0,8480796,D,20242025,L,50,Martin Fehervary,4,0.28,WSH,1159.79
63,3.76,1.0,0,1.0,1,44,55,3.28,32,1.91,Ekholm,1,3,5,1,41,51,1,8475218,D,20242025,L,89,Mattias Ekholm,21,1.25,EDM,1368.81
43,3.94,0.0,0,0.0,1,32,51,4.67,27,2.47,Broberg,2,0,2,2,25,31,0,8481598,D,20242025,L,42,Philip Broberg,12,1.1,STL,1226.4
10,1.49,0.0,1,1.0,2,35,18,2.68,115,17.14,L'Heureux,1,2,3,0,25,31,0,8482742,L,20242025,L,15,Zachary L'Heureux,3,0.44,NSH,689.71
32,5.23,0.0,0,0.0,0,26,18,2.94,4,0.65,Bryson,0,1,0,1,5,7,0,8480196,D,20242025,L,14,Jacob Bryson,3,0.49,BUF,846.69
65,5.32,1.0,0,1.0,0,43,50,4.09,50,4.09,Lyubushkin,0,1,1,2,17,21,0,8480950,D,20242025,R,31,Ilya Lyubushkin,8,0.65,DAL,1021.0
26,2.13,1.0,2,3.0,1,38,37,3.03,58,4.75,Jarvis,1,6,5,2,47,61,0,8482093,C,20242025,R,38,Seth Jarvis,14,1.14,CAR,1156.05
44,6.12,0.0,0,0.0,0,25,27,3.75,31,4.31,Fleury,0,0,1,0,13,14,0,8477938,D,20242025,L,33,Haydn Fleury,2,0.27,WPG,1034.4
25,3.41,0.0,0,0.0,0,33,22,3.0,48,6.55,Mahura,1,0,1,0,12,14,0,8479372,D,20242025,L,27,Joshua Mahura,7,0.95,SEA,798.33
8,2.65,0.0,0,0.0,0,13,7,2.32,16,5.31,Mantha,0,0,0,0,13,13,0,8477511,R,20242025,L,7,Anthony Mantha,3,0.99,CGY,834.15
26,3.15,0.0,1,1.0,2,44,29,3.52,101,12.27,Kuraly,1,0,1,1,25,28,0,8476374,C,20242025,L,25,Sean Kuraly,5,0.6,CBJ,673.47
3,7.68,,0,,0,3,2,5.12,1,2.56,Boyd,0,0,0,0,1,1,0,8476329,C,20242025,R,2,Travis Boyd,0,0.0,MIN,468.33
58,5.4,0.0,0,0.0,0,37,37,3.44,38,3.53,Hamonic,0,1,0,0,26,27,0,8474612,D,20242025,R,45,Travis Hamonic,13,1.21,OTT,1044.72
18,1.79,0.0,0,0.0,5,44,30,2.98,72,7.16,Brazeau,1,3,0,1,24,29,0,8479638,R,20242025,R,19,Justin Brazeau,9,0.89,BOS,821.86
32,3.3,0.0,0,0.0,0,41,31,3.2,83,8.57,Goodrow,0,2,0,1,17,20,0,8476624,C,20242025,L,14,Barclay Goodrow,21,2.16,SJS,849.82
