assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame
12,3,14, ,1,47,6,Ekholm,1,20,8475218,15,18,0.38297,D,3,4,20242025,0,0,0.05769,L,104,Mattias Ekholm,EDM,1368.7021
12,3,13, ,1,35,3,Broberg,0,10,8481598,8,15,0.42857,D,0,2,20242025,0,0,0.06382,L,47,Philip Broberg,STL,1221.6857
6,4,10,0.0,0,38,4,L'Heureux,0,37,8482742,-6,10,0.26315,L,0,0,20242025,0,0,0.08888,L,45,Zachary L'Heureux,NSH,695.421
3,0,3, ,0,27,0,Bryson,0,10,8480196,-2,3,0.11111,D,0,0,20242025,0,0,0.0,L,8,Jacob Bryson,BUF,842.6296
3,2,5,0.33333,1,13,4,Mantha,0,11,8477511,6,7,0.53846,R,1,1,20242025,1,1,0.26666,L,15,Anthony Mantha,CGY,834.1538
10,0,10, ,0,47,0,Lyubushkin,0,12,8480950,8,10,0.21276,D,0,0,20242025,0,0,0.0,R,26,Ilya Lyubushkin,DAL,1021.2765
18,10,20,0.34285,1,41,16,Jarvis,0,10,8482093,-1,34,0.82926,C,4,11,20242025,2,3,0.14814,R,108,Seth Jarvis,CAR,1151.2439
6,0,6, ,0,25,0,Fleury,0,4,8477938,-7,6,0.24,D,0,0,20242025,0,0,0.0,L,27,Haydn Fleury,WPG,1034.4
4,0,4, ,0,36,0,Mahura,0,10,8479372,2,4,0.11111,D,0,0,20242025,0,0,0.0,L,33,Joshua Mahura,SEA,802.6111
14,5,14,0.47619,2,49,8,Wennberg,2,8,8477505,-16,22,0.44897,C,3,8,20242025,0,0,0.13793,L,58,Alexander Wennberg,SJS,1100.551
7,4,11,0.47549,0,38,5,Bjugstad,0,10,8475760,-8,12,0.31578,C,1,1,20242025,0,0,0.07142,R,70,Nick Bjugstad,UTA,778.2894
34,12,31,0.33333,4,45,16,Keller,1,16,8479343,-1,50,1.11111,R,4,19,20242025,0,0,0.14285,L,112,Clayton Keller,UTA,1130.4222
10,3,12, ,0,39,4,Evangelista,0,16,8482146,-1,14,0.35897,R,1,2,20242025,0,0,0.05333,R,75,Luke Evangelista,NSH,770.5641
3,0,3, ,0,17,0,Korczak,0,0,8481527,4,3,0.17647,D,0,0,20242025,0,0,0.0,R,13,Kaedan Korczak,VGK,901.9411
1,2,2, ,0,4,2,Chibrikov,0,0,8482787,1,3,0.75,R,0,1,20242025,0,0,0.33333,L,6,Nikita Chibrikov,WPG,684.25
4,8,12,0.45726,2,33,8,Kulich,1,8,8483468,0,12,0.36363,C,0,0,20242025,0,0,0.10958,L,73,Jiri Kulich,BUF,845.1818
4,1,5, ,0,44,1,Xhekaj,0,72,8482964,-3,5,0.11363,D,0,0,20242025,0,0,0.02173,L,46,Arber Xhekaj,MTL,896.1136
7,4,11,0.5287,0,48,4,Kuraly,0,20,8476374,0,11,0.22916,C,0,0,20242025,0,0,0.1,L,40,Sean Kuraly,CBJ,679.3125
9,4,12,0.40611,0,40,4,Reichel,0,8,8482117,-6,13,0.325,L,0,1,20242025,0,0,0.08333,L,48,Lukas Reichel,CHI,737.275
0,0,0, ,0,3,0,Boyd,0,0,8476329,0,0,0.0,C,0,0,20242025,0,0, ,R,0,Travis Boyd,MIN,468.3333
12,1,13, ,0,45,2,Bahl,0,19,8480860,1,14,0.31111,D,1,1,20242025,0,0,0.03921,L,51,Kevin Bahl,CGY,1290.7111
3,0,3, ,0,37,0,Hamonic,0,13,8474612,-10,3,0.08108,D,0,0,20242025,0,0,0.0,R,45,Travis Hamonic,OTT,1044.7297
10,6,15,0.25,2,47,10,Brazeau,0,16,8479638,-4,20,0.42553,R,4,5,20242025,0,0,0.14925,R,67,Justin Brazeau,BOS,807.0851
2,3,5,0.50406,0,45,4,Goodrow,0,36,8476624,-21,6,0.13333,C,0,0,20242025,1,1,0.07843,L,51,Barclay Goodrow,SJS,843.6888
8,7,14,0.52941,0,42,7,Skinner,0,8,8475784,-9,15,0.35714,L,0,1,20242025,0,0,0.07954,L,88,Jeff Skinner,EDM,750.4047
14,8,21,0.52146,5,47,11,Evans,0,8,8478133,9,25,0.53191,C,0,0,20242025,3,4,0.23404,R,47,Jake Evans,MTL,935.8723
36,1,22, ,1,47,2,Fox,0,24,8479323,6,38,0.80851,D,1,16,20242025,0,0,0.02666,R,75,Adam Fox,NYR,1417.3191
11,3,14, ,2,50,3,Ceci,0,14,8476879,-5,14,0.28,D,0,0,20242025,0,0,0.05555,R,54,Cody Ceci,SJS,1307.38
4,4,8, ,1,50,4,Ferraro,0,30,8479983,-25,8,0.16,D,0,0,20242025,0,0,0.08163,L,49,Mario Ferraro,SJS,1224.2
3,0,2,0.42857,0,29,0,Dewar,0,5,8480980,-2,3,0.10344,C,0,0,20242025,0,1,0.0,L,27,Connor Dewar,TOR,607.1724
5,3,7,0.0,0,24,3,Texier,0,6,8480074,-2,8,0.33333,C,0,1,20242025,0,0,0.07692,L,39,Alexandre Texier,STL,746.9583
18,4,21, ,1,48,4,Orlov,0,14,8475200,15,22,0.45833,D,0,1,20242025,0,0,0.05128,L,78,Dmitry Orlov,CAR,1197.6875
13,6,19, ,1,45,6,Severson,0,14,8476923,5,19,0.42222,D,0,0,20242025,0,0,0.08333,R,72,Damon Severson,CBJ,1241.0
