blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,gamesPlayed,giveaways,giveawaysPer60,hits,hitsPer60,lastName,missedShotCrossbar,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,otGoals,playerId,positionCode,seasonId,shootsCatches,shotAttemptsBlocked,skaterFullName,takeaways,takeawaysPer60,teamAbbrevs,timeOnIcePerGame
0,0.0,,0,,0,1,0,0.0,0,0.0,Granlund,0,0,0,0,0,0,0,8475798,C,20242025,L,0,Mikael Granlund,0,0.0,SJS,1181.0
0,0.0,,0,,0,1,1,2.85,2,5.71,Ferraro,0,0,0,0,0,0,0,8479983,D,20242025,L,2,Mario Ferraro,0,0.0,SJS,1259.0
2,6.22,,0,,0,1,1,3.11,3,9.33,Skjei,0,0,0,0,0,0,0,8476869,D,20242025,L,0,Brady Skjei,0,0.0,NSH,1157.0
0,0.0,0.0,0,0.0,0,1,1,3.27,1,3.27,Marchessault,0,1,0,0,0,1,0,8476539,R,20242025,R,2,Jonathan Marchessault,0,0.0,NSH,1100.0
1,3.71,,0,,0,1,2,7.43,0,0.0,Thrun,0,0,0,0,0,0,0,8481567,D,20242025,L,0,Henry Thrun,0,0.0,SJS,969.0
0,0.0,,0,,0,1,0,0.0,1,6.96,Dellandrea,0,0,0,0,0,0,0,8480848,C,20242025,R,0,Ty Dellandrea,1,6.96,SJS,517.0
0,0.0,0.0,0,0.0,0,1,0,0.0,0,0.0,Zetterlund,0,0,1,0,1,2,0,8480188,L,20242025,R,3,Fabian Zetterlund,0,0.0,SJS,1025.0
0,0.0,0.0,0,0.0,0,1,0,0.0,5,18.21,Schenn,0,0,0,0,0,0,0,8474568,D,20242025,R,1,Luke Schenn,0,0.0,NSH,988.0
0,0.0,0.0,0,0.0,0,1,3,10.45,0,0.0,Stamkos,0,0,0,0,0,0,0,8474564,C,20242025,R,0,Steven Stamkos,0,0.0,NSH,1033.0
1,2.83,0.0,0,0.0,0,1,0,0.0,0,0.0,Wennberg,0,0,1,0,1,2,0,8477505,C,20242025,L,1,Alexander Wennberg,0,0.0,SJS,1271.0
1,3.86,0.0,0,0.0,0,1,1,3.86,0,0.0,Sissons,0,0,0,0,0,0,0,8476925,C,20242025,R,0,Colton Sissons,0,0.0,NSH,932.0
4,10.87,,0,,0,1,0,0.0,0,0.0,Walman,0,0,0,0,0,0,0,8478013,D,20242025,L,2,Jake Walman,1,2.71,SJS,1324.0
1,4.29,,0,,0,1,0,0.0,4,17.18,McCarron,0,0,0,0,0,0,0,8477446,C,20242025,R,1,Michael McCarron,0,0.0,NSH,838.0
0,0.0,,0,,0,1,1,3.4,3,10.21,Kunin,0,0,0,0,0,0,0,8479316,C,20242025,R,0,Luke Kunin,0,0.0,SJS,1057.0
0,0.0,,0,,0,1,1,4.15,0,0.0,Rutta,0,0,0,0,0,0,0,8480172,D,20242025,R,2,Jan Rutta,0,0.0,SJS,867.0
3,9.67,,0,,0,1,1,3.22,2,6.45,Barron,0,0,0,0,0,0,0,8482111,D,20242025,R,1,Justin Barron,0,0.0,"MTL,NSH",1116.0
0,0.0,0.0,0,0.0,1,1,3,9.01,0,0.0,Celebrini,0,0,0,0,2,2,0,8484801,C,20242025,L,1,Macklin Celebrini,0,0.0,SJS,1198.0
2,4.78,1.0,0,1.0,0,1,0,0.0,0,0.0,Josi,0,0,0,0,2,2,0,8474600,D,20242025,L,3,Roman Josi,0,0.0,NSH,1504.0
1,5.68,,0,,0,1,1,5.68,0,0.0,Goodrow,0,0,0,0,1,1,0,8476624,C,20242025,L,1,Barclay Goodrow,0,0.0,SJS,633.0
0,0.0,0.0,0,0.0,0,1,2,5.88,0,0.0,Eklund,0,0,0,0,2,2,0,8482667,L,20242025,L,0,William Eklund,0,0.0,SJS,1224.0
0,0.0,,0,,0,1,0,0.0,2,6.0,Blankenburg,0,0,0,0,1,1,0,8483565,D,20242025,R,0,Nick Blankenburg,0,0.0,NSH,1199.0
1,3.75,,0,,0,1,0,0.0,0,0.0,Graf,0,0,0,0,0,0,0,8484911,R,20242025,R,1,Collin Graf,0,0.0,SJS,960.0
1,3.71,0.0,0,0.0,0,1,0,0.0,1,3.71,Wilsby,0,0,0,0,1,1,0,8482482,D,20242025,L,0,Adam Wilsby,1,3.71,NSH,968.0
0,0.0,0.0,0,0.0,0,1,0,0.0,3,14.79,L'Heureux,0,0,0,0,1,1,0,8482742,L,20242025,L,0,Zachary L'Heureux,0,0.0,NSH,730.0
0,0.0,0.0,0,0.0,0,1,3,9.26,0,0.0,Ceci,0,0,0,0,0,0,0,8476879,D,20242025,R,1,Cody Ceci,0,0.0,SJS,1166.0
2,6.71,0.0,1,1.0,0,1,1,3.35,4,13.43,Forsberg,0,1,0,0,0,1,0,8476887,L,20242025,R,1,Filip Forsberg,1,3.35,NSH,1072.0
1,3.66,0.0,0,0.0,0,1,0,0.0,2,7.33,Necas,0,0,0,0,1,1,0,8480039,C,20242025,R,0,Martin Necas,0,0.0,CAR,982.0
0,0.0,,0,,0,1,1,3.25,3,9.77,Svechnikov,0,0,0,0,0,0,0,8480830,R,20242025,L,1,Andrei Svechnikov,0,0.0,CAR,1105.0
1,3.98,0.0,0,0.0,0,1,1,3.98,2,7.96,Walker,0,0,0,0,0,0,0,8480336,D,20242025,R,1,Sean Walker,0,0.0,CAR,904.0
0,0.0,,0,,0,1,0,0.0,1,2.98,Duchene,0,0,0,0,1,1,0,8475168,C,20242025,L,0,Matt Duchene,0,0.0,DAL,1207.0
0,0.0,,0,,0,1,0,0.0,0,0.0,Blümel,0,0,0,0,1,1,0,8481712,R,20242025,L,0,Matj Blümel,0,0.0,DAL,302.0
0,0.0,,0,,0,1,0,0.0,1,6.16,Drury,0,0,0,0,1,1,0,8480835,C,20242025,L,0,Jack Drury,0,0.0,CAR,584.0
1,3.3,,0,,0,1,0,0.0,1,3.3,Benn,0,0,0,0,1,1,0,8473994,L,20242025,L,0,Jamie Benn,0,0.0,DAL,1088.0
1,2.88,,0,,0,1,4,11.54,2,5.77,Chatfield,0,0,1,0,0,1,0,8478970,D,20242025,R,0,Jalen Chatfield,2,5.77,CAR,1247.0
1,3.41,,0,,0,1,0,0.0,2,6.82,Blake,0,0,0,0,1,1,0,8482809,R,20242025,R,0,Jackson Blake,0,0.0,CAR,1055.0
